,GEOID20,NAME,NAME20,CON20D,CON20R,STATEFP20,VAP20,2MOREVAP20,BVAP20,HISP20
0,42003003570,MCKEESPORT WARD 01,MCKEESPORT WARD 01,4.0,0.0,42.0,17.0,0.0,5.0,6.0
1,42045000360,CHESTER WARD 06 PRECINCT 01,CHESTER WARD 06 PRECINCT 01,143.0,4.0,42.0,328.0,14.0,271.0,36.0
2,42101002906,PHILADELPHIA WARD 29 PRECINCT 06,PHILADELPHIA WARD 29 PRECINCT 06,135.0,2.0,42.0,211.0,1.0,183.0,17.0
3,42003005440,PENN HILLS WARD 01 DISTRICT 05,PENN HILLS WARD 01 DISTRICT 05,125.0,2.0,42.0,161.0,7.0,147.0,6.0
4,42003001180,CLAIRTON WARD 02 DISTRICT 01,CLAIRTON WARD 02 DISTRICT 01,66.0,1.0,42.0,95.0,7.0,65.0,1.0
5,42003008490,PITTSBURGH WARD 12 DISTRICT 03,PITTSBURGH WARD 12 DISTRICT 03,86.0,3.0,42.0,127.0,4.0,115.0,3.0
6,4200300A150,PITTSBURGH WARD 15 DISTRICT 17,PITTSBURGH WARD 15 DISTRICT 17,14.0,1.0,42.0,9.0,1.0,4.0,0.0
7,42101001706,PHILADELPHIA WARD 17 PRECINCT 06,PHILADELPHIA WARD 17 PRECINCT 06,341.0,8.0,42.0,561.0,6.0,537.0,16.0
8,42101002904,PHILADELPHIA WARD 29 PRECINCT 04,PHILADELPHIA WARD 29 PRECINCT 04,186.0,3.0,42.0,344.0,16.0,265.0,36.0
9,42101001726,PHILADELPHIA WARD 17 PRECINCT 26,PHILADELPHIA WARD 17 PRECINCT 26,141.0,4.0,42.0,265.0,9.0,250.0,10.0
10,42101004714,PHILADELPHIA WARD 47 PRECINCT 14,PHILADELPHIA WARD 47 PRECINCT 14,131.0,0.0,42.0,255.0,9.0,214.0,24.0
11,42101002414,PHILADELPHIA WARD 24 PRECINCT 14,PHILADELPHIA WARD 24 PRECINCT 14,302.0,4.0,42.0,512.0,10.0,476.0,27.0
