id,NEIGHBORS
40001010001,"40001010002,40001010012,40135680308,40001010007,40001010011,40135680309,40001010014"
40001010002,"40135680308,40001010007,40001010004,40021110022,40001010001,40001010005,40135680207,40021110009"
40001010003,"40001010016,40001010006,40021110013,40001010010,40021110008"
40001010004,"40001010002,40001010006,40001010007,40001010005,40001010014"
40001010005,"40001010004,40021110022,40001010002,40001010006"
40001010006,"40001010008,40001010004,40021110022,40001010010,40021110013,40021110021,40001010005,40001010003"
40001010007,"40001010004,40001010001,40001010002,40001010014"
40001010008,"40001010019,40001010006,40001010013,40001010018,40001010010,40001010014"
40001010010,"40001010016,40001010006,40001010008,40001010019,40001010003"
40001010011,"40001010001,40001010012,40135680309"
40001010012,"40001010001,40001010011,40001010013,40001010014"
40001010013,"40001010018,40001010012,40001010008,40001010014"
40001010014,"40001010001,40001010012,40001010008,40001010013,40001010007,40001010004"
40001010016,"40021110018,40001010019,40001010017,40041210022,40001010010,40001010003"
40001010017,"40041210022,40041210023,40001010016,40001010019,40001010018"
40001010018,"40001010008,40001010017,40001010013,40001010019"
40001010019,"40001010016,40001010008,40001010017,40001010018,40001010010"
40003020110,"40151760005,40003020140,40003020220,40003020120"
40003020120,"40003020330,40053270017,40003020140,40003020110,40053270025"
40003020140,"40003020220,40003020330,40003020110,40003020120"
40003020220,"40003020330,40003020230,40003020140,40003020110,40151760005,40151760004"
40003020230,"40003020220,40003020330,40093470004,40003020310,40151760004"
40003020310,"40003020330,40003020320,40093470002,40003020230"
40003020320,"40003020330,40053270017,40047240308,40003020310,40093470002"
40003020330,"40003020220,40053270017,40003020140,40003020120,40003020310,40003020320,40003020230"
40005030001,"40029150011,40005030003,40005030013,40005030017,40005030018,40029150005,40005030002,40005030019,40005030011"
40005030002,"40029150011,40005030003,40005030001,40005030007,40005030006"
40005030003,"40005030002,40005030001,40005030007,40005030011,40005030009"
40005030006,"40069350007,40029150011,40069350012,40029150009,40069350011,40029150010,40005030002,40005030008,40005030007"
40005030007,"40005030002,40005030008,40005030003,40005030006,40005030009"
40005030008,"40069350012,40005030016,40013070017,40013070015,40005030007,40005030006,40013070021,40005030011,40005030009"
40005030009,"40005030007,40005030011,40005030008,40005030003"
40005030010,"40121610043,40029150004,40005030013,40121610039,40121610023"
40005030011,"40005030012,40005030003,40005030015,40005030013,40005030016,40005030008,40005030001,40023120101,40005030009"
40005030012,"40640002,40005030015,40005030013,40023120104,40005030014,40640007,40023120101,40005030011"
40005030013,"40005030012,40121610043,40005030017,40005030018,40029150005,40005030001,40005030014,40005030019,40005030011,40005030010"
40005030014,"40121610043,40005030012,40640007,40005030013,40121610038,40121610020,40127640015"
40005030015,"40005030012,40023120101,40005030011"
40005030016,"40013070015,40013070013,40005030011,40005030008"
40005030017,"40005030013,40005030001,40029150005"
40005030018,"40005030013,40005030001"
40005030019,"40005030013,40005030001"
40007040011,"40059300201,40045230006,40007040013,40007040023"
40007040013,"40007040011,40059300201,40007040025"
40007040023,"40007040011,40007040025,40007040031,40007040026"
40007040025,"40007040026,40007040013,40007040023"
40007040026,"40007040033,40007040025,40007040023"
40007040031,"40139700107,40007040033,40007040023"
40007040033,"40139700107,40007040026,40139700101,40139700104,40007040031"
40009050111,"40009050115,40009050330,40009050141,40009050112,40009050242,40009050235"
40009050112,"40009050330,40009050115,40009050111"
40009050115,"40009050111,40009050320,40055280302,40009050112,40009050343,40057290101,40009050242"
40009050141,"40009050330,40009050111,40009050333,40009050235"
40009050231,"40009050232,40039200026,40129650201,40009050332,40009050333,40149750014,40009050330,40009050235"
40009050232,"40009050330,40009050231,40129650102,40129650201"
40009050235,"40009050111,40009050231,40149750014,40009050141,40009050242"
40009050242,"40009050115,40009050111,40075380008,40149750014,40055280302,40149750019,40055280203,40009050235"
40009050320,"40009050115,40009050343"
40009050330,"40009050232,40009050111,40009050141,40009050332,40009050112,40009050333,40009050231,40129650102,40009050343"
40009050332,"40009050330,40009050231,40009050333"
40009050333,"40009050330,40009050141,40009050332,40009050231"
40009050343,"40009050115,40009050320,40129650102,40009050330,40129650101"
40011060002,"40011060007,40093470016,40073370304,40073370201,40011060012,40011060010,40093470020"
40011060007,"40011060022,40043220009,40011060002,40011060012,40093470022,40043220008"
40011060010,"40011060002,40011060016,40073370304,40073370303,40011060012,40011060011,40073370301"
40011060011,"40011060010,40011060016,40011060012"
40011060012,"40011060022,40011060007,40043220009,40011060002,40043220010,40039200023,40011060016,40011060010,40011060011"
40011060016,"40017090406,40011060020,40011060017,40039200023,40073370303,40011060012,40011060010,40011060011"
40011060017,"40015081213,40011060016,40015081111,40017090406,40011060020"
40011060020,"40015081213,40039200020,40011060017,40039200023,40011060016,40039200022"
40011060022,"40043220009,40011060007,40011060012"
40013070003,"40013070033,40013070005,40013070004,40013070008,40013070026"
40013070004,"40013070003,40013070005,40013070014,40013070026,40013070019"
40013070005,"40013070027,40013070004,40013070008,40013070003,40013070019"
40013070008,"40013070003,40013070027,40013070033,40013070005"
40013070010,"40013070022,40013070023,40013070029,40013070019"
40013070011,"40013070023,40013070015,40013070014,40013070029,40013070013"
40013070013,"40013070015,40023120207,40005030016,40023120101,40013070011"
40013070014,"40013070011,40013070015,40013070004,40013070017,40013070029,40013070026"
40013070015,"40005030008,40013070014,40005030016,40013070017,40013070011,40013070013"
40013070017,"40013070015,40005030008,40013070014,40013070021,40013070026"
40013070018,"40013070020,40013070027,40013070025,40013070019"
40013070019,"40013070018,40013070027,40013070022,40013070010,40013070004,40013070005,40013070029"
40013070020,"40013070022,40013070018,40095480303,40013070025"
40013070021,"40069350013,40069350012,40013070028,40013070033,40005030008,40013070017,40013070026"
40013070022,"40013070019,40013070010,40013070020"
40013070023,"40013070011,40013070010"
40013070025,"40013070028,40013070018,40013070027,40095480204,40095480206,40095480303,40013070020"
40013070026,"40013070017,40013070033,40013070004,40013070014,40013070021,40013070003"
40013070027,"40013070028,40013070018,40013070033,40013070025,40013070005,40013070008,40013070019"
40013070028,"40069350013,40013070033,40013070027,40013070025,40095480206,40013070021"
40013070029,"40013070014,40013070011,40013070010,40013070019"
40013070033,"40013070028,40013070003,40013070027,40013070008,40013070021,40013070026"
40015080012,"40015080811,40015080022,40015080031,40015080041,40051260017"
40015080022,"40015080051,40015080810,40015080712,40015080031,40015080012"
40015080031,"40015080022,40015080041,40015080012,40015080051"
40015080041,"40015080051,40015080509,40015080031,40051260033,40015080012,40015080510,40051260017"
40015080051,"40015080022,40015080712,40015080511,40015080031,40015080041"
40015080102,"40075380010,40149750003,40015080712,40015081011,40015080715,40015080812,40015081013"
40015080509,"40051260032,40015080510,40051260023,40015080041,40031160040"
40015080510,"40015080511,40015080041,40031160039,40015080509"
40015080511,"40015080051,40015080510,40031160039,40015080712,40031160038,40015080715,40031160037"
40015080712,"40015080051,40015080022,40015080810,40015080102,40015080511,40015080715,40015080812"
40015080715,"40075380010,40015080712,40015080102,40015080511,40031160035"
40015080810,"40015080811,40015080022,40015080712,40015081010,40015080812"
40015080811,"40051260029,40015080810,40051260035,40015081009,40015080012,40015081010,40051260017"
40015080812,"40015080810,40015080712,40015081011,40015081010,40015080102"
40015081009,"40051260029,40015081010,40017090403,40015080811"
40015081010,"40015080811,40015080810,40015081011,40015081009,40017090403,40015080812"
40015081011,"40015081111,40015080102,40015081010,40017090403,40015080812,40015081013"
40015081013,"40015081213,40039200020,40015081111,40015081011,40149750020,40039200018,40015080102"
40015081111,"40015081213,40011060017,40017090404,40017090406,40015081011,40017090403,40015081013"
40015081213,"40039200020,40011060017,40015081111,40011060020,40015081013"
40017090100,"40017090102,40017090201,40017090226,40017090114,40017090116,40017090202"
40017090102,"40017090409,40017090502,40017090116,40017090109,40017090100,40017090202"
40017090106,"40017090107,40017090114,40017090124,40017090109,40017090116"
40017090107,"40017090404,40017090106,40017090114,40017090400,40017090109,40017090403"
40017090109,"40017090102,40017090404,40017090106,40017090408,40017090107,40017090116"
40017090114,"40017090226,40017090106,40017090400,40017090124,40017090107,40017090116,40017090100"
40017090116,"40017090102,40017090106,40017090114,40017090124,40017090109,40017090100"
40017090124,"40017090116,40017090106,40017090114"
40017090200,"40017090201,40109550141,40017090506,40017090206,40017090202,40109550159,40109550152,40109550151"
40017090201,"40017090200,40017090209,40017090204,40017090206,40017090208,40017090100,40017090202,40017090210,40017090226"
40017090202,"40017090200,40017090102,40017090201,40017090506,40017090503,40017090502,40017090100"
40017090204,"40017090206,40017090201,40017090218"
40017090206,"40017090200,40109550159,40017090201,40017090217,40109550160,40109550007,40017090204"
40017090208,"40017090214,40017090209,40017090201,40017090218,40017090210"
40017090209,"40017090208,40017090201,40017090210"
40017090210,"40017090214,40017090209,40017090201,40017090208,40017090211"
40017090211,"40017090303,40017090226,40017090215,40017090221,40017090210"
40017090214,"40017090208,40017090216,40017090215,40017090210"
40017090215,"40017090228,40017090214,40017090216,40017090223,40017090221,40017090211"
40017090216,"40017090214,40017090217,40017090218,40017090215,40017090220"
40017090217,"40017090218,40109550007,40017090206,40017090228,40109550163,40017090216,40109550162,40017090220,40109550003"
40017090218,"40017090217,40017090216,40017090220,40017090204,40017090208"
40017090220,"40017090217,40017090218,40017090216"
40017090221,"40017090303,40017090215,40017090223,40017090224,40017090211"
40017090223,"40017090228,40017090221,40017090224,40017090215"
40017090224,"40017090228,40017090303,40017090223,40017090227,40017090221"
40017090225,"40017090228,40109550164,40017090227"
40017090226,"40017090201,40017090114,40017090400,40017090308,40017090100,40017090211"
40017090227,"40109550164,40017090303,40017090225,40017090224"
40017090228,"40109550163,40109550164,40017090217,40017090225,40017090215,40017090223,40017090224"
40017090300,"40109550165,40017090301,40017090302,40017090303"
40017090301,"40017090300,40017090304,40017090302,40017090303,40017090306"
40017090302,"40017090300,40017090304,40017090301,40017090309,40087440014,40051260041,40027140007"
40017090303,"40109550164,40017090301,40017090306,40109550165,40017090308,40017090221,40017090211,40017090300,40017090227,40017090224"
40017090304,"40017090301,40017090302,40017090306"
40017090306,"40017090304,40017090301,40017090303,40017090309,40017090399,40017090308,40017090398"
40017090308,"40017090226,40017090309,40017090306,40017090303,40017090399,40017090400,40017090398"
40017090309,"40051260029,40051260041,40017090302,40017090306,40051260040,40017090308,40017090400"
40017090398,"40017090308,40017090306"
40017090399,"40017090308,40017090306"
40017090400,"40051260029,40017090226,40017090309,40017090114,40017090308,40017090107,40017090403"
40017090403,"40015081009,40017090404,40015081111,40015081011,40051260029,40017090400,40015081010,40017090107"
40017090404,"40015081111,40017090107,40017090406,40017090408,40017090109,40017090403"
40017090406,"40011060017,40011060016,40015081111,40017090404,40017090408"
40017090408,"40017090404,40017090406,40073370303,40017090409,40017090109"
40017090409,"40017090502,40017090408,40017090102,40073370303"
40017090502,"40073370302,40017090102,40073370303,40017090409,40017090503,40017090202"
40017090503,"40017090506,40017090504,40073370306,40017090502,40073370103,40017090202"
40017090504,"40109550138,40073370105,40017090506,40017090503"
40017090506,"40017090200,40109550141,40017090504,40017090503,40109550138,40017090202"
40019100001,"40019100002,40019100011,40019100020,40019100017,40019100007"
40019100002,"40019100011,40019100019,40019100014,40019100025,40019100001,40019100017"
40019100007,"40019100011,40019100024,40019100020,40019100001,40019100015"
40019100011,"40019100002,40019100014,40019100001,40019100007,40019100015"
40019100014,"40019100002,40019100015,40019100019,40019100011"
40019100015,"40019100014,40019100007,40019100011,40019100024,40019100019,40019100062,40019100063,40019100026"
40019100017,"40019100002,40019100024,40019100020,40019100032,40019100025,40019100001,40019100039"
40019100019,"40019100002,40019100031,40019100061,40019100014,40019100015"
40019100020,"40019100024,40019100001,40019100017,40019100007"
40019100024,"40019100015,40019100020,40019100032,40019100026,40019100033,40019100017,40019100007"
40019100025,"40019100002,40019100034,40019100017,40019100031"
40019100026,"40019100024,40099500007,40019100063,40019100033,40099500014,40019100015"
40019100030,"40085430208,40019100071,40067340009,40085430313,40019100031,40019100039"
40019100031,"40019100034,40019100030,40019100019,40085430313,40019100061,40019100025,40019100039"
40019100032,"40019100024,40019100052,40019100033,40019100017,40019100039,40019100041"
40019100033,"40019100024,40099500007,40019100052,40019100032,40019100026"
40019100034,"40019100025,40019100039,40019100031"
40019100039,"40019100071,40019100030,40019100034,40019100032,40019100031,40019100017,40019100041"
40019100041,"40019100071,40067340009,40019100052,40019100032,40019100039"
40019100051,"40099500007,40019100052,40137690058,40049250013,40137690056"
40019100052,"40099500007,40067340009,40019100051,40019100032,40137690059,40019100033,40019100041"
40019100061,"40019100019,40019100062,40085430313,40019100031,40085430311"
40019100062,"40085430312,40095480101,40019100063,40095480105,40019100061,40085430311,40019100015"
40019100063,"40019100062,40099500015,40095480101,40069350005,40019100026,40099500014,40019100015"
40019100071,"40019100030,40067340009,40019100039,40019100041"
40021110001,"40021110008,40021110013,40021110005,40021110004,40021110002"
40021110002,"40021110003,40021110013,40021110005,40021110021,40021110020,40021110006,40021110001"
40021110003,"40021110004,40021110005,40021110025,40021110020,40021110019,40021110002"
40021110004,"40021110003,40021110025,40021110007,40021110001,40021110008,40021110011,40021110023"
40021110005,"40021110003,40021110001,40021110002"
40021110006,"40021110010,40021110021,40021110022,40021110020,40021110002,40021110009"
40021110007,"40021110012,40021110008,40021110004"
40021110008,"40021110018,40021110012,40021110013,40021110004,40021110007,40021110001,40001010003"
40021110009,"40021110022,40001010002,40021110010,40135680210,40021110006,40135680208,40135680207"
40021110010,"40101510040,40021110020,40101510044,40021110009,40135680210,40021110006,40021110017"
40021110011,"40021110004,40021110016,40021110025,40097490311,40021110014,40021110023"
40021110012,"40021110018,40021110007,40041210022,40021110016,40097490037,40021110008,40021110023"
40021110013,"40021110008,40001010006,40021110021,40021110001,40001010003,40021110002"
40021110014,"40021110025,40145730204,40021110015,40097490025,40145730206,40145730209,40145730210,40097490311,40021110011"
40021110015,"40101510041,40145730210,40021110025,40021110019,40021110014"
40021110016,"40021110012,40097490037,40097490311,40021110011,40021110023"
40021110017,"40101510040,40101510041,40021110010,40021110020,40021110019"
40021110018,"40041210022,40021110012,40001010016,40021110008"
40021110019,"40021110003,40101510041,40021110025,40021110020,40021110015,40021110017"
40021110020,"40021110003,40021110010,40021110019,40021110006,40021110002,40021110017"
40021110021,"40001010006,40021110013,40021110022,40021110006,40021110002"
40021110022,"40001010002,40001010006,40021110021,40001010005,40021110006,40021110009"
40021110023,"40021110016,40021110012,40021110011,40021110004"
40021110025,"40021110003,40021110004,40021110015,40021110014,40021110011,40021110019"
40023120101,"40005030012,40023120207,40005030015,40023120104,40005030011,40013070013"
40023120104,"40640002,40023120208,40005030012,40023120207,40023120101,40023120106,40023120318"
40023120105,"40023120214,40023120208,40023120106,40023120316"
40023120106,"40023120318,40023120208,40023120104,40023120316,40023120105"
40023120207,"40023120208,40023120104,40023120101,40013070013"
40023120208,"40023120210,40023120207,40023120214,40023120104,40023120106,40023120105,40023120209"
40023120209,"40023120210,40023120208"
40023120210,"40023120208,40023120321,40023120214,40023120316,40023120211,40023120320,40023120209,40023120318"
40023120211,"40023120210,40023120321"
40023120214,"40023120210,40023120208,40023120215,40023120105,40023120316"
40023120215,"40023120214,40023120316"
40023120316,"40023120210,40023120215,40023120105,40023120214,40023120106,40023120318"
40023120318,"40127640011,40023120319,40023120104,40023120106,40023120210,40127640003,40023120320,40023120316"
40023120319,"40127640011,40089450037,40023120321,40023120322,40023120320,40127640012,40023120318"
40023120320,"40023120319,40023120210,40023120318,40023120321"
40023120321,"40023120210,40023120211,40023120319,40023120320,40023120322"
40023120322,"40089450035,40089450037,40023120319,40023120321,40089450036"
40025130002,"40025130004,40025130003,40025130005"
40025130003,"40025130006,40025130002,40025130004,40025130005"
40025130004,"40025130002,40025130003,40025130005"
40025130005,"40025130002,40025130006,40025130004,40025130003,40025130007"
40025130006,"40025130007,40025130003,40025130005,40139700302"
40025130007,"40025130006,40139700303,40025130005"
40027140001,"40027140077,40027140024,40027140003,40027140091,40027140055"
40027140002,"40027140081,40027140015,40027140003,40027140018,40027140008"
40027140003,"40027140001,40027140026,40027140077,40027140055,40027140002"
40027140004,"40027140040,40027140069,40027140061,40027140020"
40027140005,"40027140060,40027140009,40027140086,40027140047"
40027140006,"40027140042,40027140018,40027140008,40027140013,40027140011"
40027140007,"40027140040,40027140088,40017090302,40087440014,40109550165"
40027140008,"40027140014,40027140006,40027140015,40027140018,40027140013,40027140002"
40027140009,"40027140074,40027140086,40027140020,40027140043,40027140088,40027140089,40027140005,40027140048"
40027140010,"40109550233,40027140060,40027140054,40027140090,40109550232,40027140041,40027140080"
40027140011,"40027140056,40027140051,40027140006,40027140019"
40027140012,"40027140030,40027140063,40027140026,40027140036,40027140025,40027140094,40027140055"
40027140013,"40027140014,40027140006,40027140008,40027140035,40027140042"
40027140014,"40027140015,40027140028,40027140068,40027140067,40027140008,40027140013"
40027140015,"40027140014,40027140028,40027140008,40027140032,40027140002"
40027140016,"40027140058,40027140017,40027140022,40027140037"
40027140017,"40027140016,40027140087,40027140072,40027140037"
40027140018,"40027140006,40027140077,40027140008,40027140002,40027140019"
40027140019,"40027140077,40027140051,40027140018,40027140059,40027140011"
40027140020,"40027140088,40027140009,40027140086,40027140004"
40027140021,"40027140022,40027140058,40027140044,40027140054,40027140047,40027140048"
40027140022,"40027140016,40027140021,40027140072,40027140070"
40027140024,"40027140001,40027140063,40027140044,40027140072,40027140091,40027140055,40027140070"
40027140025,"40027140036,40027140094,40027140049,40027140012"
40027140026,"40027140003,40027140012,40027140081"
40027140027,"40027140074,40027140053,40027140076,40027140073"
40027140028,"40027140014,40027140015,40027140067,40027140032,40027140082"
40027140029,"40125630037,40027140095,40087440028,40027140038,40027140034,40027140045,40087440023,40027140083,40027140057"
